gene_name,counts
['pgaD'],1
['yojO'],1
['yffL'],1
['purN'],1
['yejB'],1
['lolE'],1
['hupB'],1
['torY'],1
['rlmN'],1
['mutY'],1
['srkA'],1
['gadY'],1
['rrlE'],1
['fryA'],1
['ybcJ'],1
['yjfJ'],1
['glnL'],2
['nohA'],1
['glyA'],1
['yhcA'],1
['ymiD'],1
['acpP'],1
['sibE'],1
['dapF'],1
['yidB'],3
['cedA'],1
['fimZ'],1
['smf'],1
['ygeA'],1
['rarD'],1
['dgoD'],1
['spf'],1
['dsbG'],1
['yhhM'],1
['yecD'],1
['rrfC'],1
['rprA'],1
['nadA'],1
['rpmB'],1
['ymgI'],1
['ydeJ'],1
['nrdH'],1
['yhdY'],1
['yiaV'],1
['ilvI'],1
['yfeZ'],1
['yihA'],1
['insH3'],1
['yjjV'],1
['frlD'],1
['pdeL'],1
['pbpC'],1
['yhgN'],1
['creD'],1
['uspF'],1
['ydfD'],1
['phnF'],1
['ymgE'],1
['drpB'],1
['esrE'],1
['ydhK'],1
['oppA'],1
['gspI'],1
['ybfB'],2
['ygcO'],1
['hemB'],2
['yfaA'],1
['yfeS'],1
['rrf'],2
['yghR'],1
['lldP'],1
['caiE'],1
['uspD'],1
['ghoS'],1
['rfbX'],1
['baeS'],1
['yjhQ'],1
['yqhG'],1
['yifB'],1
['ybdD'],1
['betT'],1
['recB'],1
['pitB'],1
['ldrA'],1
['gsk'],1
['sodC'],1
['yggN'],1
['melA'],1
['yedN'],1
['dacD'],1
['yqiI'],1
['ydeA'],1
['ygcS'],1
['ybeQ'],1
['topB'],1
['yhgH'],1
['rplT'],1
['flgL'],1
['rpmGB'],1
['php'],1
['yijD'],1
['igaA'],1
['ytcB'],1
['yqgB'],1
['phoU'],2
['ycjW'],1
['ydhR'],1
['ybdN'],2
['cynS'],1
['ccmC'],1
['arnA'],1
['gltB'],1
['rrlD'],1
['ribA'],1
['gutM'],1
['tusA'],1
['fklB'],1
['aceE'],1
['dppA'],1
['roxA'],1
['mak'],1
['smpB'],1
['yfcG'],1
['yqcC'],1
['glyT'],1
['ybzI'],1
['ycbU'],1
['pinH'],1
['jayE'],1
['fecB'],1
['rsmA'],2
['ybhH'],1
['bioA'],1
['yriB'],1
['yddJ'],1
['insD6'],1
['hslO'],2
['lpxH'],1
['solA'],1
['ygaH'],1
['iadA'],1
['malG'],1
['chaA'],1
['mnaT'],1
['xdhB'],1
['ypjF'],1
['setC'],1
['syd'],1
['thiG'],1
['ggt'],1
['puuR'],1
['tpx'],1
['yehQ'],1
['yjdJ'],1
['rrsA'],1
['ylbI'],1
['pspB'],1
['topA'],1
['yebG'],1
['ymfA'],1
['guaA'],1
['thyA'],1
['galR'],1
['rutC'],1
['dgt'],1
['ypdK'],1
['pdeA'],1
['ynfH'],1
['eutP'],1
['cyuP'],1
['lrp'],1
['yjdI'],1
['lptF'],1
['paaF'],1
['kdsC'],1
['ampD'],1
['yfbO'],1
['fadR'],1
['psaA'],1
['sokA'],1
['intB'],1
['ybjO'],1
['yddE'],1
['gucD'],1
['fepB'],1
['alaS'],1
['ydjM'],1
['yqjD'],1
['caiB'],1
['coaX'],1
['yagE'],1
['rrlH'],1
['ygiM'],1
['alkA'],2
['umpH'],1
['hdhA'],1
['recD'],1
['ytiA'],1
['oxyR'],1
['rluA'],1
['hybE'],1
['eesA'],1
['cfa'],1
['lpxD'],1
['fetA'],1
['pth'],2
['fruK'],1
['norV'],1
['ygjJ'],1
['bamD'],1
['mukB'],1
['uvrD'],1
['surA'],1
['ldtB'],1
['trpA'],1
['ohsC'],1
['yqjC'],1
['narQ'],1
['cyoC'],1
['uidB'],1
['cvpA'],1
['purU'],1
['valZ'],1
['def'],1
['ugpE'],1
['hofO'],1
['eutB'],1
['trpB'],1
['bluF'],1
['tfaS'],1
['mgrR'],1
['yfcU'],1
['argT'],1
['nrfF'],1
['fecA'],1
['yhjR'],1
['hxpB'],1
['narS'],1
['ynfO'],1
['yhcE'],1
['metG'],1
['yqjE'],1
['livH'],1
['yfgH'],1
['gdx'],1
['ymjC'],1
['yecA'],1
['yjfK'],1
['yecJ'],1
['sxy'],1
['cbl'],1
['yddY'],1
['iprA'],1
['ydfE'],1
['remB'],2
['caiA'],1
['hyuA'],1
['ubiJ'],1
['fes'],1
['eptB'],1
['yihR'],1
['yihV'],1
['gdhA'],1
['eutA'],1
['yqeC'],1
['ydiM'],1
['gyrB'],143
['eno'],3
['ybgP'],1
['secB'],1
['gloC'],1
['yacC'],1
['emrD'],1
['wza'],1
['yqfG'],1
['ytfH'],1
['cydA'],1
['nuoC'],1
['ydiQ'],1
['yoeI'],1
['ybaL'],1
['rpoE'],1
['elyC'],1
['envZ'],1
['carA'],1
['yodB'],1
['kdgD'],1
['apaH'],1
['bdcA'],1
['yidA'],11
['chiA'],1
['rfbC'],1
['tpiA'],1
['ycjF'],1
['serW'],1
['rrnH-5S'],1
['yiiQ'],1
['atoE'],1
['torT'],1
['essQ'],1
['prpD'],1
['ahpF'],2
['ilvC'],1
['psd'],2
['rclB'],1
['lsrB'],1
['yghE'],1
['aroB'],2
['rbbA'],1
['atpI'],2
['yaiS'],1
['dnaX'],2
['rutA'],1
['insN'],1
['yciB'],1
['yjfZ'],1
['ygjK'],1
['rplNA'],1
['ychJ'],1
['ybaE'],1
['ylcJ'],1
['bglJ'],1
['nuoB'],1
['yaaR'],1
['yjfF'],1
['lplA'],1
['cyaA'],1
['pheM'],1
['codB'],1
['glnV'],1
['yciG'],1
['arsC'],1
['ybiU'],1
['pstC'],2
['hyfA'],1
['glyS'],2
['micA'],1
['ydiR'],1
['tyrA'],1
['malK'],1
['yigI'],1
['ybdJ'],2
['cobS'],1
['rpnB'],1
['sgbH'],1
['fabZ'],1
['phoB'],1
['rutE'],1
['dmsD'],1
['frc'],1
['mepM'],1
['mdtP'],1
['trhO'],1
['sokB'],1
['tff'],1
['ynbA'],1
['trnI-Asn'],1
['fkpB'],1
['sutR'],1
['fumC'],1
['yphC'],1
['mlaF'],1
['mdtN'],1
['rrnA-16S'],1
['bcsB'],1
['mazF'],1
['mreD'],1
['ynaM'],1
['lysA'],1
['pldB'],1
['grcA'],1
['ytfF'],1
['yejL'],1
['cas1'],1
['csdE'],1
['rdlD'],1
['ykfK'],1
['yecR'],1
['gmm'],1
['timR'],1
['xseB'],2
['gudX'],1
['bglX'],1
['yqfI'],1
['bglH'],1
['yihU'],1
['rihA'],1
['rpnE'],1
['yfgD'],1
['uxuR'],1
['rsmD'],1
['yqcG'],1
['envY'],1
['appB'],1
['yjaH'],1
['narH'],1
['nagE'],1
['insH11'],1
['cbrB'],1
['ddrC'],1
['ypfH'],1
['nfsA'],1
['acrD'],1
['nudG'],1
['rrrD'],1
['ydaU'],1
['yjeH'],1
['pdeG'],1
['yjcB'],1
['yoaE'],1
['yciX'],1
['queF'],1
['yneL'],1
['yghB'],1
['yhfU'],1
['dmsB'],1
['raiZ'],1
['mnmA'],1
['der'],1
['argQ'],1
['flu'],1
['crcB'],1
['otsB'],1
['ybfO'],2
['tsuA'],1
['cdsA'],1
['insI1'],1
['hldE'],1
['yecM'],1
['yncG'],1
['modC'],1
['ppdD'],1
['yciE'],1
['menF'],1
['rcnA'],1
['intF'],1
['amiD'],1
['rtcR'],1
['yjiH'],1
['ybjX'],1
['oppF'],1
['yciW'],1
['dut'],1
['pdeH'],1
['hrpA'],1
['accC'],1
['yiaY'],1
['ymgD'],1
['rhaD'],1
['rseA'],1
['yjgL'],1
['leuC'],1
['agaC'],1
['araH'],1
['lplT'],1
['pcnB'],1
['dsbD'],1
['ais'],1
['grxC'],1
['menA'],1
['glyY'],1
['prfH'],1
['dcrB'],1
['rclC'],1
['ybgO'],1
['argZ'],1
['hemC'],2
['hisA'],1
['pqqL'],1
['ykgJ'],1
['yncD'],1
['pncC'],1
['rtcB'],1
['ycjS'],1
['araD'],1
['leuB'],1
['yjbS'],1
['prpB'],1
['fimE'],1
['insD4'],1
['yhaJ'],1
['dctA'],1
['glmSA'],1
['fliA'],1
['ydgA'],1
['paaK'],1
['arnD'],1
['dnaG'],1
['phnL'],1
['topAI'],1
['ybaR'],1
['smg'],1
['yrbG'],1
['mukF'],1
['perR'],1
['fnrS'],1
['mioC'],12
['hisI'],1
['yrdE'],1
['dld'],1
['dppF'],1
['yddB'],1
['fucI'],1
['tsr'],1
['rutR'],1
['yhdW'],1
['ahpC'],1
['modE'],1
['yghO'],1
['rplI'],1
['ecpE'],1
['yfjV'],1
['ppdC'],1
['pinE'],1
['scpB'],1
['dtpB'],1
['yoeA'],1
['ydcZ'],1
['yigZ'],1
['yhbY'],1
['prmC'],1
['mmuM'],1
['rrnI-23S'],1
['yehA'],1
['hcxB'],1
['ydjH'],1
['murR'],2
['kbaZ'],1
['rffG'],1
['ghrA'],1
['xdhA'],1
['sfsA'],1
['aspU'],1
['hiuH'],1
['nirC'],1
['yadL'],1
['rrnH-16S'],1
['murF'],1
['asr'],1
['dapB'],1
['wcaB'],1
['pheL'],1
['pinR'],1
['metE'],1
['rttR'],1
['pta'],1
['hofB'],1
['sgrS'],1
['ygbM'],1
['ssuA'],1
['yhdP'],1
['puuE'],1
['sraG'],1
['yrdA'],1
['fliP'],1
['panD'],1
['citT'],1
['ileY'],1
['yfbP'],1
['yhfS'],1
['rssB'],1
['yhcG'],1
['ygiS'],1
['fkpA'],1
['opgH'],1
['focB'],1
['zntR'],1
['ilvA'],1
['ybaP'],1
['potG'],1
['clpX'],1
['clpA'],1
['yafE'],1
['etp'],1
['elaA'],1
['rutF'],1
['cysW'],1
['groS'],1
['trnJ-Arg'],1
['rutG'],1
['thiQ'],1
['flgI'],1
['frdB'],1
['frvB'],1
['ykfA'],1
['asnB'],1
['yibW'],1
['lptG'],1
['treF'],1
['ampE'],1
['ulaA'],1
['ybaB'],1
"[""3'ETS-leuZ""]",1
['ysdD'],1
['yafJ'],1
['leuX'],1
['cnoX'],1
['dacC'],1
['spoVT'],1
['trmJ'],1
['chiZ'],1
['ypjJ'],1
['ffs'],1
['yfcQ'],1
['cynT'],1
['rpsQ'],2
['cvrA'],1
['dgcP'],1
['fliH'],1
['dgcE'],1
['ubiI'],1
['ccp'],1
['thrU'],1
['hofC'],1
['putP'],1
['recJ'],1
['tatE'],1
['yfhM'],1
['pgpB'],1
['lysO'],1
['ytfB'],1
['dnaN'],270
['rpoS'],1
['cmtA'],1
['yibA'],1
['yecH'],1
['tusC'],1
['ihfB'],1
['ygjP'],1
['hyfG'],1
['lomR'],1
['bcp'],1
['dppB'],1
['crp'],1
['trpT'],1
['dinI'],1
['panE'],1
['fabA'],1
['puuC'],1
['nirD'],1
['sdhC'],1
['phnN'],1
['bidA'],1
['yidF'],1
['yiaB'],1
['fdrA'],1
['sbp'],1
['paoB'],1
['rplY'],1
['yegH'],1
['edd'],1
['cdd'],1
['cysA'],1
['npr'],1
['astA'],1
['istR'],1
['cspI'],1
['ompG'],1
['ybcH'],2
['truA'],2
['yeaH'],1
['agaS'],1
['kbaY'],1
['pabC'],3
['yhdU'],1
['uhpA'],1
['yajR'],1
['yghJ'],1
['sufB'],1
['mhpC'],1
['selC'],1
['fliN'],1
['ybaT'],1
['ymgA'],1
['sucC'],1
['ycfL'],1
['yhbP'],1
['sspB'],1
['deoD'],1
['amyA'],1
['ubiC'],1
['ynfN'],1
['kduD'],1
['nlpC'],1
['gnsA'],1
['ycgY'],1
['nagK'],1
['fecI'],1
['gamR'],1
['yfdF'],1
['cybB'],1
['rspA'],1
['dtd'],1
['gltP'],2
['ypdC'],1
['tam'],1
['rrlA'],1
['yajG'],1
['ybjG'],1
['pitA'],1
['ybhN'],1
['tldE'],1
['hprR'],1
['rhmD'],1
['hmp'],1
['ycjM'],1
['gcvH'],1
['flgF'],1
['hyi'],1
['fliZ'],1
['yciC'],1
['yhjG'],1
['fabI'],1
['yghQ'],1
['glvB'],1
['dxs'],1
['mdfA'],1
['nhaR'],2
['yafS'],1
['ybeL'],1
['fucA'],1
['narP'],1
['zntB'],1
['degP'],1
['ybfE'],1
['narK'],1
['ycbK'],1
['iscX'],1
['atoD'],1
['yncE'],1
['glpQA'],1
['arnT'],1
['hypA'],1
['mog'],5
['allR'],1
['yrdF'],1
['wcaK'],1
['insC4'],1
['hybB'],1
['skp'],1
['xdhC'],1
['tyrV'],1
['fdoG'],1
['yfgI'],1
['proP'],1
['yceO'],1
['malI'],1
['yecF'],1
['ypjA'],1
['yidC'],3
['ydbH'],1
['ybeU'],1
['dinQ'],1
['nikB'],1
['aceK'],1
['pdxY'],1
['paaC'],1
['ulaD'],1
['ydiF'],1
['serV'],1
['glaH'],1
['yahO'],1
['yaiL'],1
['ygiD'],1
['flhB'],1
['fixC'],1
['ygdI'],1
['wzxE'],1
['rrnJ-5S'],1
['eamB'],1
['cheB'],1
['hokB'],1
['gpr'],1
['manA'],1
['gfcD'],1
['sgbE'],1
['ada'],1
['yazB'],1
['insA6'],1
['yihQ'],1
['focA'],1
['yafX'],1
['pyrR'],1
['mocA'],1
['ybgE'],1
['xisR'],1
['recE'],1
['ydiB'],1
['eco'],1
['cspF'],1
['sokE'],1
['yraQ'],1
['feuB'],1
['yaaW'],1
['yccE'],1
['yceI'],1
['fumD'],1
['cyaY'],1
['gmd'],1
['ibsB'],1
['ftsE'],1
['pheA'],1
['malH'],1
['eutS'],1
['cdh'],1
['phnC'],1
['tdk'],1
['gabT'],1
['glnH'],1
['ymiB'],1
['tfaE'],1
['murE'],1
['dcuD'],1
['ogrK'],1
['ampC'],1
['yfiF'],1
['ybhM'],1
['dicA'],1
['pykF'],1
['tsgA'],1
['prlF'],1
['dcuB'],1
['cusS'],1
['gntU'],1
['thiD'],1
['mtn'],1
['yiaC'],1
['potD'],1
['ybfH'],1
['dosC'],1
['ychA'],1
['hycE'],1
['intD'],1
['exuR'],1
['cpxA'],1
['rrlG'],1
['glnD'],1
['fnr'],1
['insF1'],1
['glpG'],1
['emrA'],1
['amiE'],1
['yceH'],1
['csiE'],1
['trkA'],1
['tatB'],1
['lysU'],1
['rzpQ'],1
['yncJ'],1
['lpxP'],1
['ytgB'],1
['lacI'],1
['ptsN'],1
['rrsC'],1
['fimH'],1
['ylbE'],1
['dnaT'],1
['rlmF'],1
['artJ'],1
['cirA'],1
['ykgF'],1
['yihG'],1
['murB'],1
['yeaY'],1
['pabB'],2
['rhsC'],1
['clpB'],1
['hyaE'],1
['oppB'],1
['rhaA'],1
['napH'],1
['raiA'],1
['maa'],1
['yqjK'],1
['yhfL'],1
['tcyP'],1
['fumB'],1
['yjjW'],1
['purT'],2
['mdlB'],1
['fixB'],1
['ynhH'],1
['ecnB'],1
['aaeB'],1
['ybiB'],1
['pptA'],1
['ydeN'],1
['ispU'],1
['yafU'],1
['yobH'],1
['alaA'],1
['yhhW'],1
['yhhJ'],1
['secD'],1
['rcnR'],1
['rffM'],1
['rnpB'],1
['ydcL'],1
['actS'],1
['proY'],1
['comR'],1
['eutN'],1
['rimJ'],1
['yieL'],1
['tdcA'],1
['gspG'],1
['trnSL-Ser1'],1
['argC'],1
['hofQ'],1
['yidZ'],1
['asnA'],5
['yhcC'],1
['rlmC'],1
['ybeF'],2
['ydfZ'],1
['skfC'],1
['ybhA'],1
['yqgD'],1
['aslB'],1
['rlpA'],1
['glpX'],1
['pdeK'],1
['ybhC'],1
['yoaM'],1
['tilS'],2
['yhgE'],1
['ynjB'],1
['mutM'],1
['creC'],1
['yfdN'],1
['envC'],1
['ppiB'],1
['grxB'],1
['yoaF'],1
['ydfJ'],1
['pheV'],1
['sgrT'],1
['glpE'],1
['yeaD'],1
['yoeD'],1
['cysG'],1
['glxK'],1
['ymcF'],1
['shiA'],1
['torR'],1
['sseA'],1
['yhfA'],1
['queD'],1
['araJ'],1
['rpsJ'],2
['relE'],1
['kptA'],1
['abgR'],1
['rstB'],1
['ubiH'],1
['lysP'],1
['ydfW'],1
['leuO'],1
['rsxE'],1
['arnC'],1
['bioF'],1
['cueO'],1
['ppnP'],1
['torA'],1
['btuB'],1
['kdpB'],1
['ydaG'],1
['kbp'],1
['yheS'],1
['dnaJ'],5
['ycfK'],1
['proX'],1
['cueR'],1
['skfB'],1
['rpmE'],1
['gatZ'],1
['cbpM'],1
['bioD'],1
['dpaA'],1
['ddpA'],1
['peaD'],1
['iscR'],1
['ynfF'],1
['thrS'],1
['dsbC'],1
['mazE'],1
['argY'],1
['gldA'],1
['yhcD'],1
['ygiB'],1
['ydjX'],1
['ftsW'],1
['metZ'],1
['lapA'],1
['yjhE'],1
['coaA'],1
['agaD'],1
['folM'],1
['lsrR'],1
['ybfQ'],2
['nanQ'],1
['frdC'],1
['ybiV'],1
['fiu'],1
['mcrC'],1
['yfdQ'],1
['insC5'],1
['glcG'],1
['xylB'],1
['fucO'],1
['alaE'],1
['gapA'],1
['glgA'],1
['rayT'],1
['yfjT'],1
['spcP'],1
['yoaK'],1
['ymiA'],1
['aceF'],1
['phoP'],1
['cysP'],1
['luxS'],1
['fpr'],1
['trmO'],1
['znuB'],1
['yedI'],1
['fdnG'],1
['mfd'],2
['rydC'],1
['yrfJ'],1
['atpD'],2
['intE'],1
['insQ'],1
['yegZ'],1
['spx'],1
['ilvE'],2
['malP'],1
['thrA'],17
['holE'],1
['fbaB'],1
['yhhZ'],1
['yfcO'],1
['mpl'],1
['map'],1
['coaE'],1
['hybO'],1
['argG'],1
['nlpA'],1
['ileT'],1
['ygeN'],1
['djlC'],1
['yahN'],1
['ylbH'],1
['ygeK'],1
['bioH'],1
['dgcM'],1
['barA'],1
['ligA'],1
['ispG'],1
['trnA-Ile'],1
['ybjC'],1
['skfA'],1
['csrB'],1
['artQ'],1
['ydbD'],1
['nuoM'],1
['agaB'],1
['yjaG'],1
['fimC'],1
['yiaF'],1
['sspF'],1
['cheZ'],1
['sfmH'],1
['ynfT'],1
['yefM'],1
['ypeA'],1
['mscS'],1
['yfcA'],1
['mdtU'],1
['nemA'],1
['yidD'],6
['csgD'],1
['yhaH'],1
['hemX'],1
['ybhD'],1
['hprT'],1
['rrsG'],1
['ldtA'],1
['ygeL'],1
['yggM'],1
['lpxT'],1
['higA'],1
['slyX'],1
['dusA'],1
['intG'],1
['purC'],1
['ykgR'],1
['lon'],1
['marC'],1
['yfeW'],1
['lysS'],2
['yqaE'],1
['nupC'],1
['ybcK'],1
['marA'],1
['ygeW'],1
['yegI'],1
['kdgR'],1
['secF'],1
['puuD'],1
['tmaR'],1
['galF'],1
['bamC'],1
['yejO'],1
['glrK'],1
['yfbN'],1
['dmsC'],1
['ydiZ'],1
['mbiA'],1
['gatD'],1
['mokC'],2
['yfbS'],1
['ynaA'],1
['rimM'],1
['metA'],1
['seqA'],1
['eutG'],1
['rhsE'],1
['yobA'],1
['rrnI-16S'],1
['fixA'],1
['yoeB'],1
['lrhA'],1
['tsaB'],1
['gfcE'],1
['panZ'],1
['ydcK'],1
['gpt'],1
['csgE'],1
['gspB'],1
['yiiS'],1
['fecR'],1
['acpT'],1
['sfmD'],1
['rpoN'],1
['yebO'],1
['hyfR'],1
['uspB'],1
['rfbA'],1
['asnW'],1
['allB'],1
['entD'],1
['leuU'],1
['greA'],1
['flgG'],1
['aspT'],1
['malF'],1
['pspC'],1
['ybjN'],1
['rmuC'],1
['lpxB'],1
['yiiX'],1
['fabR'],1
['ydbA'],1
['chbB'],1
['prfA'],1
['yaaA'],67
['hemL'],1
['chiX'],1
['rusA'],1
['modA'],1
['mcbR'],1
['yoaA'],1
['yegD'],1
['hyfF'],1
['bluR'],1
['yqaB'],1
['yqfH'],1
['ycgI'],1
['rpsO'],1
['cycA'],1
['trmA'],1
['bipA'],1
['uidA'],1
['ldlJ'],1
['trhP'],1
['hisQ'],1
['gcvA'],1
['sgcE'],1
['yeaE'],1
['ybfA'],2
['yhjJ'],1
['sgcB'],1
['rdgC'],1
['fabG'],1
['bhsB'],1
['ygeH'],1
['yciY'],1
['fadB'],1
['arsB'],1
['ydfR'],1
['tusB'],1
['eptC'],1
['yfjR'],1
['flgN'],1
['feuA'],1
['acnA'],1
['tauA'],1
['rrsH'],1
['yqhI'],1
['dfp'],1
['arcA'],1
['recR'],2
['xylG'],1
['mgsA'],1
['yecN'],1
['yehR'],1
['metU'],1
['entS'],1
['ygfB'],1
['ydaV'],1
['queA'],1
['ydfA'],1
['fucK'],1
['agrB'],1
['ysdE'],1
['murG'],1
['yebK'],1
['casE'],1
['ydgJ'],1
['yibX'],1
['ybiT'],1
['pdeD'],1
['arnE'],1
['rpmF'],1
['mltD'],1
['cysB'],1
['rarA'],1
['ybiW'],1
['ybjM'],1
['pheP'],1
['ydcJ'],1
['yebZ'],1
['eutE'],1
['mhpE'],1
['cutA'],1
['hicB'],1
['yjjI'],1
['azuC'],1
['yiaA'],1
['rnk'],1
['yibT'],1
['fliF'],1
['yciH'],1
['rlmI'],1
['insA4'],1
['fryC'],1
['yqgH'],1
['acpH'],1
['phoH'],1
['dtpD'],1
['sdhD'],1
['agaR'],1
['wecE'],1
['pldA'],1
['obgE'],6
['ynjH'],1
['wrbA'],1
['rcnB'],1
['nhaB'],1
['chbR'],1
['gcvT'],1
['sibC'],1
['lafU'],1
